Timestamp,Price,Volume,DataType,Correction,MarketState
20260526 12:00:15.664,4504.8,2,A,R,N
20260526 12:00:15.664,4504.6,1,B,R,N
20260526 12:00:15.664,4504.8,3,A,R,N
20260526 12:00:15.664,4504.6,2,B,R,N
20260526 12:00:15.664,4504.8,2,A,R,N
20260526 12:00:16.024,4504.8,1,A,R,N
20260526 12:00:16.056,4504.7,1,B,R,N
20260526 12:00:16.056,4504.7,2,B,R,N
20260526 12:00:16.056,4504.9,3,A,R,N
20260526 12:00:16.056,4504.7,1,B,R,N
20260526 12:00:16.056,4504.9,2,A,R,N
20260526 12:00:16.056,4504.9,3,A,R,N
20260526 12:00:16.056,4504.6,3,B,R,N
20260526 12:00:16.056,4504.8,1,A,R,N
20260526 12:00:16.068,4504.7,1,B,R,N
20260526 12:00:16.068,4504.9,3,A,R,N
20260526 12:00:16.068,4504.6,3,B,R,N
20260526 12:00:16.124,4504.8,1,A,R,N
20260526 12:00:16.124,4504.6,2,B,R,N
20260526 12:00:16.268,4504.6,3,B,R,N
20260526 12:00:16.268,4504.9,4,A,R,N
20260526 12:00:16.268,4504.6,4,B,R,N
20260526 12:00:16.268,4504.7,1,B,R,N
20260526 12:00:16.268,4504.9,3,A,R,N
20260526 12:00:16.268,4504.7,2,B,R,N
20260526 12:00:16.268,4504.9,2,A,R,N
20260526 12:00:16.268,4504.7,1,B,R,N
20260526 12:00:16.268,4504.9,3,A,R,N
20260526 12:00:16.868,4504.8,1,A,R,N
20260526 12:00:16.868,4504.6,3,B,R,N
20260526 12:00:16.868,4504.6,2,B,R,N
20260526 12:00:17.072,4504.9,5,A,R,N
20260526 12:00:17.072,4504.6,3,B,R,N
20260526 12:00:17.072,4504.9,4,A,R,N
20260526 12:00:17.072,4504.7,1,B,R,N
20260526 12:00:17.072,4504.7,2,B,R,N
20260526 12:00:17.072,4504.9,3,A,R,N
20260526 12:00:17.072,4504.9,2,A,R,N
20260526 12:00:17.080,4504.9,3,A,R,N
20260526 12:00:17.080,4504.7,1,B,R,N
20260526 12:00:17.080,4504.6,3,B,R,N
20260526 12:00:17.080,4504.9,4,A,R,N
20260526 12:00:17.080,4504.8,1,A,R,N
20260526 12:00:17.080,4504.7,1,B,R,N
20260526 12:00:17.080,4504.8,1,T,R,N
20260526 12:00:17.080,4504.9,4,A,R,N
20260526 12:00:17.080,4504.9,3,A,R,N
20260526 12:00:17.080,4504.7,2,B,R,N
20260526 12:00:17.080,4504.9,2,A,R,N
20260526 12:00:17.204,4504.9,3,A,R,N
20260526 12:00:17.208,4504.9,2,A,R,N
20260526 12:00:17.352,4504.9,3,A,R,N
20260526 12:00:17.640,4504.7,3,B,R,N
20260526 12:00:17.684,4504.9,2,A,R,N
20260526 12:00:17.684,4504.8,1,B,R,N
20260526 12:00:17.684,4504.9,1,T,R,N
20260526 12:00:17.684,4504.9,1,A,R,N
20260526 12:00:17.688,4504.8,2,B,R,N
20260526 12:00:17.688,4505.0,2,A,R,N
20260526 12:00:17.688,4505.0,1,A,R,N
20260526 12:00:17.688,4505.1,3,A,R,N
20260526 12:00:17.688,4504.9,1,B,R,N
20260526 12:00:17.688,4504.8,3,B,R,N
20260526 12:00:17.688,4505.1,2,A,R,N
20260526 12:00:17.688,4505.0,1,A,R,N
20260526 12:00:17.688,4505.1,2,A,R,N
20260526 12:00:17.688,4505.0,1,A,R,N
20260526 12:00:17.736,4505.1,2,A,R,N
20260526 12:00:17.904,4505.0,1,A,R,N
20260526 12:00:17.936,4505.1,2,A,R,N
20260526 12:00:17.956,4505.0,1,A,R,N
20260526 12:00:17.956,4505.0,2,A,R,N
20260526 12:00:18.056,4505.0,1,A,R,N
20260526 12:00:18.056,4505.1,2,A,R,N
20260526 12:00:18.076,4505.0,1,A,R,N
20260526 12:00:18.076,4505.0,2,A,R,N
20260526 12:00:18.080,4505.0,1,A,R,N
20260526 12:00:18.080,4505.1,2,A,R,N
20260526 12:00:18.080,4505.0,1,A,R,N
20260526 12:00:18.088,4505.0,2,A,R,N
20260526 12:00:18.152,4504.8,2,B,R,N
20260526 12:00:18.152,4504.8,1,B,R,N
20260526 12:00:18.152,4505.0,3,A,R,N
20260526 12:00:18.224,4504.9,1,A,R,N
20260526 12:00:18.224,4504.7,2,B,R,N
20260526 12:00:18.224,4504.9,2,A,R,N
20260526 12:00:18.232,4504.9,1,A,R,N
20260526 12:00:19.224,4505.0,3,A,R,N
20260526 12:00:19.228,4504.7,3,B,R,N
20260526 12:00:19.236,4504.8,1,B,R,N
20260526 12:00:19.236,4505.0,2,A,R,N
20260526 12:00:19.248,4504.7,3,B,R,N
20260526 12:00:19.248,4505.0,3,A,R,N
20260526 12:00:19.388,4504.8,1,B,R,N
20260526 12:00:19.388,4504.7,3,B,R,N
20260526 12:00:19.388,4504.8,1,B,R,N
20260526 12:00:19.388,4505.0,2,A,R,N
20260526 12:00:19.388,4504.8,2,B,R,N
20260526 12:00:19.388,4504.8,1,B,R,N
20260526 12:00:19.388,4504.7,2,B,R,N
20260526 12:00:19.388,4505.0,3,A,R,N
20260526 12:00:19.608,4504.7,3,B,R,N
20260526 12:00:19.716,4504.8,1,B,R,N
20260526 12:00:19.716,4505.0,2,A,R,N
20260526 12:00:19.912,4505.0,1,A,R,N
20260526 12:00:19.912,4504.8,2,B,R,N
20260526 12:00:19.940,4505.1,3,A,R,N
20260526 12:00:19.940,4505.1,2,A,R,N
20260526 12:00:19.960,4505.0,1,A,R,N
20260526 12:00:19.984,4505.0,2,A,R,N
20260526 12:00:20.080,4504.8,1,B,R,N
20260526 12:00:20.280,4504.8,2,B,R,N
20260526 12:00:20.284,4505.0,1,A,R,N
20260526 12:00:20.284,4505.1,2,A,R,N
20260526 12:00:21.032,4505.0,1,A,R,N
20260526 12:00:21.032,4504.8,1,B,R,N
20260526 12:00:21.032,4505.0,2,A,R,N
20260526 12:00:21.032,4505.0,3,A,R,N
20260526 12:00:21.032,4505.0,4,A,R,N
20260526 12:00:21.032,4504.7,2,B,R,N
20260526 12:00:21.032,4504.7,3,B,R,N
20260526 12:00:21.244,4504.8,1,B,R,N
20260526 12:00:21.244,4505.0,3,A,R,N
20260526 12:00:21.248,4504.8,2,B,R,N
20260526 12:00:21.248,4505.0,2,A,R,N
20260526 12:00:21.272,4505.0,1,A,R,N
20260526 12:00:21.300,4505.1,5,A,R,N
20260526 12:00:21.300,4504.8,3,B,R,N
20260526 12:00:21.300,4504.9,1,B,R,N
20260526 12:00:21.300,4504.9,2,B,R,N
20260526 12:00:21.300,4504.9,3,B,R,N
20260526 12:00:21.300,4505.1,4,A,R,N
20260526 12:00:21.300,4505.1,3,A,R,N
